Key,text,lang,created_at,created_day,timeonly,created_dateonly,datetime,retweet_count,coordinates,geo,place,retweeted,truncated,user_favourites_count,user_followers_count,user_following,user_friends_count,user_geo_enabled,user_listed_count,user_location,user_statuses_count,user_time_zone,user_screen_name,file,sentiment_score,sentiment
13981,Yoplait Minigo and Liberte brands of yogurt added to Canadian recall.  ,en,Wed Jul 19 17:50:12 ,Wed,17:50:12,7/19/2017,7/19/2017 17:50,3,,,,False,False,596,281292,False,460,True,1837,"365 Bloor St. E., Toronto, ON",125797,Eastern Time (US & Canada),TheTorontoSun,jsonfile_yoplait.json,0.9273419976234436,neutral
13982,"Canadian yogurt recall expanded to include Yoplait, Liberte ",en,Wed Jul 19 17:50:08 ,Wed,17:50:08,7/19/2017,7/19/2017 17:50,0,,,,False,False,2914,11481,False,7899,False,205,Canada,48802,Pacific Time (US & Canada),CanadaNewsHunt,jsonfile_yoplait.json,0.8889054656028748,neutral
13985,Canadian Food Inspection Agency expands #yogurt #recall to #Yoplait and #Liberte ,en,Wed Jul 19 17:47:49 ,Wed,17:47:49,7/19/2017,7/19/2017 17:47,0,,,"{u'full_name': u'Edmonton, Alberta', u'url': u'https://api.twitter.com/1.1/geo/id/6a6d896ba1cb5dc4.json', u'country': u'Canada', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-113.71368, 53.395531], [-113.271555, 53.395531], [-113.271555, 53.7161084], [-113.71368, 53.7161084]]]}, u'contained_within': [], u'country_code': u'CA', u'attributes': {}, u'id': u'6a6d896ba1cb5dc4', u'name': u'Edmonton'}",False,False,19,145,False,456,True,17,,2846,Mountain Time (US & Canada),starchoice,jsonfile_yoplait.json,0.9234084486961365,neutral
13986,"RT @CP24: CFIA expands yogurt recall to Yoplait and Liberte
 ",en,Wed Jul 19 17:46:32 ,Wed,17:46:32,7/19/2017,7/19/2017 17:46,45,,,,False,False,17775,557,False,1314,False,23,Canada,20583,Eastern Time (US & Canada),Julieprasad,jsonfile_yoplait.json,0.934406042098999,neutral
13987,RT @CBCBusiness: Canadian Food Inspection Agency expands yogurt recall to Yoplait and Liberte  ,en,Wed Jul 19 17:46:25 ,Wed,17:46:25,7/19/2017,7/19/2017 17:46,27,,,,False,False,74085,3205,False,4184,True,602,"Boutouche,NB",820964,America/Halifax,wrikent3500,jsonfile_yoplait.json,0.9264360666275024,neutral
13990,RT @globeandmail: CFIA expands yogurt recall to Yoplait and Liberte ,en,Wed Jul 19 17:45:00 ,Wed,17:45:00,7/19/2017,7/19/2017 17:45,4,,,,False,False,112,16,False,33,False,1,,500,,MarkMmaclellan,jsonfile_yoplait.json,0.932827889919281,neutral
13991,"RT @CP24: CFIA expands yogurt recall to Yoplait and Liberte
 ",en,Wed Jul 19 17:44:17 ,Wed,17:44:17,7/19/2017,7/19/2017 17:44,45,,,,False,False,960,952,False,123,False,6,"Toronto, Ontario",1271,,samiya_ph,jsonfile_yoplait.json,0.934406042098999,neutral
13993,"Yoplait, Liberte yogurt products recalled over possible plastic content - CTV News ",en,Wed Jul 19 17:41:50 ,Wed,17:41:50,7/19/2017,7/19/2017 17:41,0,,,,False,False,0,309,False,47,False,27,,61017,,ShareCanadaNews,jsonfile_yoplait.json,0.49656668305397034,neutral
13994,"RT @CP24: CFIA expands yogurt recall to Yoplait and Liberte
 ",en,Wed Jul 19 17:40:23 ,Wed,17:40:23,7/19/2017,7/19/2017 17:40,45,,,,False,False,29709,272,False,239,False,51,,25434,Eastern Time (US & Canada),horizoncarrie,jsonfile_yoplait.json,0.934406042098999,neutral
13995,RT @CJOYMagicNews: Canadian Food Inspection Agency expands #yogurt recall to Yoplait and Liberte. ,en,Wed Jul 19 17:40:21 ,Wed,17:40:21,7/19/2017,7/19/2017 17:40,1,,,,False,False,21054,4363,False,2310,False,796,Guelph,183649,,GuelphBugle,jsonfile_yoplait.json,0.937707245349884,neutral
13997,Canadian Food Inspection Agency expands yogurt recall to Yoplait and Liberte ,en,Wed Jul 19 17:37:48 ,Wed,17:37:48,7/19/2017,7/19/2017 17:37,1,,,,False,False,5555,574,False,707,False,4,,2450,,tanda_2009,jsonfile_yoplait.json,0.9226500391960144,neutral
13998,Canadian Food Inspection Agency expands yogurt recall to Yoplait and Liberte  @cbchomestretch,en,Wed Jul 19 17:37:41 ,Wed,17:37:41,7/19/2017,7/19/2017 17:37,1,,,,False,False,171,5416,False,2716,True,148,Calgary,26426,Arizona,cbcDougDirks,jsonfile_yoplait.json,0.922803521156311,neutral
13999,RT @CBCCalgary: Canadian Food Inspection Agency expands yogurt recall to Yoplait and Liberte  ,en,Wed Jul 19 17:37:22 ,Wed,17:37:22,7/19/2017,7/19/2017 17:37,7,,,,False,False,587,115,False,200,True,10,"Calgary, Alberta",1764,Mountain Time (US & Canada),bunnyjillos,jsonfile_yoplait.json,0.921841561794281,neutral
14000,RT @yowweather: Canadian Food Inspection Agency expands yogurt recall to Yoplait and Liberte #yow #ottawa #health #food ,en,Wed Jul 19 17:37:15 ,Wed,17:37:15,7/19/2017,7/19/2017 17:37,1,,,,False,False,1867,1142,False,664,False,69,"Toronto, ON CANADA",9614,Hawaii,GTNewsNetwork,jsonfile_yoplait.json,0.9037845134735107,neutral
14001,Canadian Food Inspection Agency expands yogurt recall to Yoplait and Liberte ,en,Wed Jul 19 17:36:59 ,Wed,17:36:59,7/19/2017,7/19/2017 17:36,0,,,,False,False,32,40,False,87,False,0,"Toronto, Ontario",389,,IPACJames,jsonfile_yoplait.json,0.9226500391960144,neutral
14002,Canadian Food Inspection Agency expands yogurt recall to Yoplait and Liberte #yow #ottawa #health #food ,en,Wed Jul 19 17:34:47 ,Wed,17:34:47,7/19/2017,7/19/2017 17:34,1,,,,False,False,714,744,False,1187,False,20,Ottawa ON Canada,466,Hawaii,yowweather,jsonfile_yoplait.json,0.8889702558517456,neutral
14003,"RT @CP24: CFIA expands yogurt recall to Yoplait and Liberte
 ",en,Wed Jul 19 17:34:44 ,Wed,17:34:44,7/19/2017,7/19/2017 17:34,45,,,,False,False,1090,1135,False,870,True,52,₮๏г๏ภ ₮๏,225612,Eastern Time (US & Canada),TrillInToronto,jsonfile_yoplait.json,0.934406042098999,neutral
14005,"RT @CP24: CFIA expands yogurt recall to Yoplait and Liberte
 ",en,Wed Jul 19 17:33:46 ,Wed,17:33:46,7/19/2017,7/19/2017 17:33,45,,,,False,False,10322,489,False,399,False,9,why pree?,28401,,Lxigh_,jsonfile_yoplait.json,0.934406042098999,neutral
14006,CFIA expands yogurt recall to Yoplait and Liberte ,en,Wed Jul 19 17:33:17 ,Wed,17:33:17,7/19/2017,7/19/2017 17:33,0,,,,False,False,4891,301,False,540,False,27,Niagara,9029,,barbouna,jsonfile_yoplait.json,0.8940366506576538,neutral
14007,"RT @CP24: CFIA expands yogurt recall to Yoplait and Liberte
 ",en,Wed Jul 19 17:32:51 ,Wed,17:32:51,7/19/2017,7/19/2017 17:32,45,,,,False,False,45227,2768,False,2695,False,150,Canada ,167752,,TFCFan,jsonfile_yoplait.json,0.934406042098999,neutral
14009,"Yoplait, Liberte yogurt products recalled over possible plastic content - CTV News ",en,Wed Jul 19 17:32:33 ,Wed,17:32:33,7/19/2017,7/19/2017 17:32,0,,,,False,False,0,309,False,47,False,27,,61017,,ShareCanadaNews,jsonfile_yoplait.json,0.49656668305397034,neutral
14010,"Canadian yogurt recall expanded to include Yoplait, Liberte »  #toronto",en,Wed Jul 19 17:32:11 ,Wed,17:32:11,7/19/2017,7/19/2017 17:32,0,,,,False,False,11478,1399,False,40,False,157,Toronto,154427,,torontosolds,jsonfile_yoplait.json,0.9055711627006531,neutral
